Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Heir Island,,,-9.438856311,51.49624242,Cork,,Ireland,Discovery Point
Dánlann Yawl Art Gallery,http://www.achillpainting.com,3539836137,-9.8317617,53.9490797,Mayo,,Ireland,"Craft,Shopping,Learning,Art Gallery,Cafe,Food and Drink,Activity Operator"
Beaulieu House Gardens,http://www.beaulieuhouse.ie,353420000000,-6.2935996,53.7281596,Louth,Cross,Ireland,"Gardening,Nature and Wildlife,Photography,Learning,Walking,Activity Operator,Historic Houses and Castle,Gardens,Garden,Museums and Attraction,Venue,Music,Tour"
St Anne's Park and Rose Gardens,http://www.dublincity.ie/main-menu-services-recreation-culture-dublin-city-parks-visit-park/st-annes-park,+353(0)18338898,-6.17541,53.3693,Dublin,Raheny,Republic of Ireland,"Cycling,Golf,Walking,Gardens,Garden,Public Park,Nature and Wildlife,Venue,Music,Sports Venues,Cafe,Food and Drink,Local Produce,Restaurant,Food Shops,Shopping"
Roscrea Heritage Centre – Roscrea Castle and Damer House,https://heritageireland.ie/visit/places-to-visit/roscrea-heritage-centre-roscrea-castle-and-damer-house/,35350521850,-7.7977979,52.9545928,Tipperary,,Ireland,"Photography,Learning,Castle,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins"
Bere Island Heritage Centre,http://www.bereisland.net/activities/heritage-centre,3532775956,-9.8800912,51.6352472,Cork,,Ireland,"Covid Safety Charter,Craft,Shopping,Learning,Photography,Tracing Your Ancestors,Museums and Attraction,Cafe,Food and Drink,Food Shops"
The Doorway Gallery,http://thedoorwaygallery.com,+353(0)17645895,-6.2563,53.342249,Dublin,,Ireland,"Craft,Shopping,Art Gallery,Food Shops"
Katie's Cottage,https://www.facebook.com/CladdaghArtsCentre,353878000000,-9.057755211,53.26463293,Galway,Galway City,Ireland,"Museums and Attraction,Traditionally Irish,Food Shops,Shopping"
Ionad Cultúrtha an Phiarsaigh Conamara - Pearse Cottage Cultural Centre ,http://facebook.com/ionadculturthaanphiarsaigh,35391574292,-9.6152746,53.3419323,Galway,,Ireland,"Learning,Historic Houses and Castle,Museums and Attraction,Cafe,Food and Drink,Tour"
Derrycassin Walks,http://visitlongford.ie/listings/derrycassin-woods-walk/,+353(0)433342577,-7.538751653,53.83076035,Longford,,Republic of Ireland,"Walking,Natural Landscape"
Father Murphy Centre,https://www.facebook.com/Fr-Murphy-Centre-Boolavogue-315611758499163,353539000000,-6.4107808,52.5485902,Wexford,Boolavogue,Ireland,Museums and Attraction
Aine Dunne - Fine Art Tapestry Weaver,http://www.ainedunneweaver.com,353879000000,-6.351277,53.762114,Louth,Drogheda,Ireland,"Craft,Shopping,Learning,Art Gallery,Activity Operator"
Maynooth Campus Conference & Accommodation,http://www.maynoothcampus.com,+353(0)17086400,-6.592757857,53.37649551,Kildare,Maynooth,Republic of Ireland,"Restaurant,Learning,Historic Houses and Castle,Food and Drink"
Temple Cronan Early Christian Church,,353657000000,-9.0609731,53.0461692,Clare,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ahakista Air India Plane Disaster Memorial,http://livingthesheepsheadway.com/air-india-disaster-memorial,3532821489,-9.621448,51.59751,Cork,Ahakista,Republic of Ireland,Public Sculpture
Ballymoon Castle,http://carlowtourism.com/ballymoon-castle-2,,-6.9062967,52.700405,Carlow,,Ireland,"Castle,Historic Houses and Castle,Ruins"
Carnivan Beach,,,-6.830589669,52.17620032,Wexford,,Republic of Ireland,Beach
"Newman University Church, Our Lady Seat of Wisdom",http://newman.nd.edu/,+353(0)14759674,-6.260616,53.336624,Dublin,Dublin City,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Drum Monastic Settlement and St Brigid's Holy Well,http://www.drumheritage.ie/history,,-8.0300869,53.3980818,Roscommon,Drum,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Leinster House,http://www.oireachtas.ie/parliament/visitsevents/,+353(0)16183271,-6.254252,53.340122,Dublin,Dublin City,Republic of Ireland,"Historic Houses and Castle,Tour"
Smithwick’s Experience Kilkenny,https://www.smithwicksexperience.com,353568000000,-7.2541102,52.6543719,Kilkenny,,Ireland,"Food and Drink,Museums and Attraction,Food Trails and Tour,Tour"
Sol Art Gallery,http://www.solart.ie,+353(0)16750972,-6.257837936,53.34207607,Dublin,,Ireland,"Craft,Shopping,Art Gallery,Food Shops"
The Wicklow Way,https://visitwicklow.ie/the-wicklow-way/,,-6.043392283,52.98086782,Wicklow,,Republic of Ireland,"Cycling,Walking,Natural Landscape"
Biddy's Cottage,https://www.biddyscottage.com,353864000000,-6.096538524,53.27655982,Dublin,Dalkey,Ireland,"Craft,Shopping,Activity Operator,Historic Houses and Castle,Local Produce,Food and Drink,Restaurant,Food Shops"
Garinish Island Discovery Point,,,-9.542695194,51.73562522,Cork,,Ireland,Discovery Point
Tory Hill - Frochans Loop,http://www.trailkilkenny.ie,,-7.17550686,52.36787812,Kilkenny,Mullinavat,Republic of Ireland,"Walking,Natural Landscape"
De Valera Museum and Bruree Heritage Centre,http://visitballyhoura.com/index.php/2015/07/22/de-valera-museum-bruree-heritage-centre,353864000000,-8.662829,52.4244926,Limerick,Bruree,Ireland,Museums and Attraction
Wood Quay,http://www.visitdublin.com/dublin-a-to-z/details/wood-quay/49834/,+353(0)14370969,-6.26098,53.343599,Dublin,,Republic of Ireland,"Public Sculpture,Ruins,Historic Houses and Castle"
St Catherine's Church,http://saintcatherines.ie/,35314735100,-6.281194,53.342908,Dublin,,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Drishane House,https://drishane.com,3532836126,-9.1811823,51.5261146,Cork,Drishane,Ireland,"Historic Houses and Castle,Gardens,Garden,Museums and Attraction"
The Watergarden Garden Centre,http://www.camphill.ie/Thomastown,353568000000,-7.1396636,52.5266807,Kilkenny,Thomastown,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden,Cafe,Food and Drink,Food Shops,Shopping"
Royal College of Physicians of Ireland,http://www.numbersix.ie,+353(0)16698800,-6.254777034,53.34142239,Dublin,,Ireland,"Restaurant,Historic Houses and Castle,Fine Dining,Food and Drink,Food Shops,Shopping"
Inis Bó Finne - Inishbofin Island - Donegal,,,-8.170623921,55.1678058,Donegal,Inishbofin Island,Ireland,Discovery Point
Agricultural Heritage Display Centre,http://www.coolakayhouse.ie/museum,35312862423,-6.1880463,53.1667259,Wicklow,Enniskerry,Ireland,"Agriculture,Nature and Wildlife,Museums and Attraction"
Red Abbey,http://www.corkpastandpresent.ie/mapsimages/corkphotographs/corkcameraclubhistoricalphotos/redabbeystreet/,353215000000,-8.4723587,51.8940883,Cork,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Front Strand Beach,https://youghal.ie/top-10-things-to-do/youghal-beaches/,+353(0)2420769,-7.851509,51.937915,Cork,Youghal,Republic of Ireland,"Surfing,Activity Operator,Swimming,Swimming Pools and Water Park,Venue,Walking,Beach"
Lár Na Pairce museum  - The Story of Gaelic Games,http://larnapairce.ie,35350422702,-7.8130745,52.6782242,Tipperary,Thurles,Ireland,"Gaa,Museums and Attraction,Venue,Sports Venues"
The Donegal Gaeltacht,,,-8.1107141,54.654487,Donegal,Glencolmcille,Ireland,Natural Landscape
"Muckross House, Gardens & Traditional Farms",http://www.muckross-house.ie,+353(0)646670144,-9.504301,52.018077,Kerry,Killarney,Republic of Ireland,"Covid Safety Charter,Gardens,Garden,Historic Houses and Castle,Museums and Attraction,National Park,National and Forest Park,Visitor Farm,Cafe,Food and Drink,Food Shops,Shopping"
Esker Monastery Retreat,http://www.facebook.com/Esker-Redemptorists-251128325046360/,+353(0)91844007,-8.683624,53.282257,Galway,Kiltullagh,Republic of Ireland,"Walking,Church Abbey,Monastery,Churches,Abbeys and Monastery,Activity Operator"
Birr Theatre & Arts Centre,http://www.birrtheatre.com,+353(0)579122911,-7.912075481,53.09777753,Offaly,Birr,Republic of Ireland,"Craft,Shopping,Art Gallery,Venue,Music,Activity Operator"
Fintra Beach ,https://www.blueflag.global/show-site?siteId=6583,353750000000,-8.4847153,54.6345623,Donegal,,Ireland,Beach
Shekina Sculpture Garden,http://www.shekinasculpturegarden.com,353869000000,-6.351044997,52.95589079,Wicklow,Glenmalure,Republic of Ireland,"Gardens,Garden"
Atlantic Air Adventures,https://atlanticairadventures.com,35361363687,-8.870205,52.713908,Clare,,Ireland,"Covid Safety Charter,Learning,Activity Operator,Museums and Attraction"
Cashel House Hotel and Gardens,https://cashelhouse.ie/cms/gardens/,3539531001,-9.8079229,53.4196461,Galway,Cashel,Ireland,"Restaurant,Photography,Learning,Walking,Gardens,Garden,Food and Drink"
The Lace Gallery,http://www.thelacegallery.com,353599000000,-6.7364351,52.7535167,Carlow,,Ireland,"Craft,Shopping,Shopping Centres and Department Store,Art Gallery,Food Shops"
Cleggan Harbour,,,-10.111172,53.556776,Galway,Cleggan,Ireland,Embarkation Point
Celtic Roots Studio,http://www.celticroots.ie,353873000000,-7.848079,53.349912,Westmeath,Athlone,Ireland,"Craft,Shopping,Learning,Shopping Centres and Department Store,Art Gallery,Activity Operator,Food Shops"
The Moth Studios,http://www.facebook.com/TheMothStudios,353873000000,-7.3594973,53.9931383,Cavan,,Ireland,"Craft,Shopping,Art Gallery"
The Book of Kells,https://www.tcd.ie/visitors/book-of-kells,35318962320,-6.2545716,53.3437935,Dublin,Dublin,Ireland,"Covid Safety Charter,Museums and Attraction"
"The Quiet Man Museum, Tours & Giftshop",http://www.quietmanmuseum.com,353950000000,-9.2881155,53.5408714,Mayo,Cong,Ireland,"Covid Safety Charter,Transport,Movies,Cinema,Venue,Activity Operator,Museums and Attraction,Tour,Coach,Road"
The Manor Fields Adare,http://manorfieldsadare.com/,353874000000,-8.7913384,52.5547882,Limerick,Adare,Republic of Ireland,"Climbing,Activity Operator,Gaa,Walking"
North Kerry Museum,http://www.northkerrymuseum.com,353877000000,-9.6553707,52.4708634,Kerry,Ballyduff,Ireland,"Museums and Attraction,Food Shops,Shopping"
Ahenny High Crosses,http://www.megalithicireland.com/High%20Cross%20Ahenny.htm,,-7.393333382,52.41253746,Tipperary,Ahenny,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Angela Woulfe Gallery,http://www.angelawoulfegallery.com/,35361310164,-8.6288578,52.6591346,Limerick,,Ireland,"Craft,Shopping,Art Gallery"
"Victorian People's Flower Gardens, Phoenix Park",http://phoenixpark.ie/what-to-see/,+353(0)18213021,-6.299662901,53.35038531,Dublin,Phoenix Park,Ireland,"Walking,Gardens,Garden,Public Park,Nature and Wildlife,Cafe,Food and Drink"
Cablemaster's Residence,https://atlanticvilla.ie/cablemaster-house,353872000000,-10.289066,51.922393,Kerry,Knightstown,Republic of Ireland,"Castle,Historic Houses and Castle"
Lismore County Library,http://waterfordlibraries.ie/branches/,+353(0)5821377,-7.935046,52.136636,Waterford,Lismore,Republic of Ireland,"Learning,Literary Ireland"
Woodstown Beach,,,-6.983563056,52.19287649,Waterford,Woodstown,Republic of Ireland,Beach
Ionad Deirbhile Heritage Centre,http://ionaddeirbhile.ie,3539785727,-10.100855,54.120778,Mayo,Blacksod,Ireland,"Tracing Your Ancestors,Museums and Attraction,Activity Operator"
Kilpatrick Beach,,,-6.151020144,52.72790513,Wexford,Castletown,Republic of Ireland,Beach
Muckross Friary,http://www.heritageireland.ie/en,353647000000,-9.504292,52.018083,Kerry,Killarney,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,National Park,National and Forest Park,Ruins"
Cionn Mhucrois (Muckros Head),,,-8.5899407,54.617378,Donegal,Kilcar,Ireland,Discovery Point
Galway County Library,http://www.galwaylibrary.ie,+353(0)91562471,-9.05756,53.273911,Galway,Galway City,Republic of Ireland,Literary Ireland
Jorgensen Gallery,http://www.jorgensenfineart.com/,+353(0)16619721,-6.2568924,53.3409786,Dublin,,Ireland,"Craft,Shopping,Art Gallery,Food Shops"
Local Studies Centre,http://www.clarelibrary.ie,3536846271,-8.9838152,52.8462885,Clare,Lifford,Ireland,"Learning,Museums and Attraction"
The Sacred Heart Church,http://www.sacredheartroscommon.com,353907000000,-8.195589,53.628628,Roscommon,Roscommon Town,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
St. Patricks Well - Clonmel,,353526000000,-7.761667,52.362071,Tipperary,Clonmel,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Whiskey Island - Ireland's Hidden Heartlands Whiskey Trail  ,https://www.whiskeyisland.ie/hidden-heartlands/,35316877747,-6.2588113,53.3398838,Dublin,,Ireland,"Activity Operator,Museums and Attraction"
Secret Gardens Sligo,https://www.secretgardensofsligo.com/gardens,353863000000,-8.476086439,54.27641929,Sligo,Sligo Town,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
The LAB Gallery,https://www.facebook.com/thelabgallerydublin?_rdr,+353(0)12225455,-6.253215592,53.35152715,Dublin,,Ireland,"Craft,Shopping,Learning,Art Gallery"
Aran Islands - Inishmaan - Inis Meáin,,,-9.58965917,53.08469456,Galway,Aran Islands,Republic of Ireland,"Island,Offshore Island"
Edmund Burke,http://www.visitdublin.com,+353(0)16057700,-6.261219,53.344479,Dublin,Dublin City,Republic of Ireland,"Public Sculpture,Tour"
Brigit's Garden (Gairdín Bhríde),http://www.brigitsgarden.ie,35391550905,-9.212496,53.385307,Galway,,Ireland,"Covid Safety Charter,Learning,Photography,Walking,Gardens,Garden,Cafe,Food and Drink,Food Shops,Shopping"
Waterford Garden Trail,https://www.facebook.com/waterfordgardentrail,3535854975,-7.115246071,52.2659554,Waterford,Waterford City,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Gáirdín an Ghorta,https://www.facebook.com/thefaminegarden,353868000000,-7.2605498,52.4744375,Kilkenny,Dunnamaggan,Ireland,"Gardens,Garden"
North Mayo Family Research Centre,http://www.northmayogenealogy.com/,3539631809,-9.3114016,54.0704965,Mayo,Ballina,Ireland,"Tracing Your Ancestors,Gardens,Garden,Museums and Attraction,Cafe,Food and Drink"
Michael Cusack Centre,http://www.michaelcusack.ie,353657000000,-9.0857179,53.0190537,Clare,,Ireland,"Gaa,Learning,Museums and Attraction,Cafe,Food and Drink,Food Shops,Shopping,Tour"
Killarney Art Gallery,http://www.killarneyartgallery.com/,353873000000,-9.5091062,52.0588637,Kerry,Killarney,Ireland,"Craft,Shopping,Art Gallery"
Carlow County Museum,https://carlowmuseum.ie,353599000000,-6.9282228,52.8363867,Carlow,,Ireland,"Learning,Museums and Attraction"
Carlow Brewing Company,https://www.carlowbrewing.com,353600000000,-6.9761895,52.6965818,Carlow,,Ireland,"Food and Drink,Restaurant,Learning,Museums and Attraction,Food Trails and Tour,Tour"
Oceans Alive Visitor Centre & Seaside Trail,http://www.letterfrackwatertours.com,3539543473,-9.972419,53.572838,Galway,Letterfrack,Republic of Ireland,"Bird Watching,Nature and Wildlife,Cruising,Fishing,Angling,Walking,Museums and Attraction,Boat,Tour"
Castlemorris - Fern Loop,http://www.irishtrails.ie/Trail/Castlemorris---Fern-loop-/119/,,-7.212819444,52.48398887,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
Hennigan's Heritage Centre,http://hennigansheritage.com/,353872000000,-8.9873735,53.9742534,Mayo,,Ireland,"Museums and Attraction,Visitor Farm,Tour"
Martina Furlong - Artists Studio Gallery,https://www.martinafurlong.com/,353875000000,-6.4063611,52.498219,Wexford,Gorey,Ireland,"Craft,Shopping,Art Gallery"
Shannon-Erne Waterway Ballinamore,http://www.waterwaysireland.org/places-to-go/shannon-erne-waterway,+353(0)719644855,-7.804921955,54.05289061,Leitrim,Ballinamore,Republic of Ireland,"Fishing,Angling,River,Discovery Point,Boat,Tour"
Greenfort,http://www.donegalgardentrail.com/site/?page_id=2306,353878000000,-7.65388635,55.13440451,Donegal,Kerrykeel,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Killybegs Maritime & Heritage Centre,http://www.visitkillybegs.com,353750000000,-8.446613,54.635431,Donegal,Killybegs,Republic of Ireland,"Craft,Shopping,Museums and Attraction,Cafe,Food and Drink"
Pollardstown Fen,http://www.kildare.ie/details.asp?GCID=68,35345980483,-6.845791,53.1835843,Kildare,,Ireland,"Agriculture,Nature and Wildlife,Walking,Natural Landscape"
Sligo Folk Park,http://www.sligofolkpark.com,353719000000,-8.3988187,54.1294653,Sligo,Riverstown,Ireland,"Covid Safety Charter,Museums and Attraction,Cafe,Food and Drink,Food Shops,Shopping"
St Nicholas' Collegiate Church of Ireland,http://www.stnicholas.ie,35391564648,-9.0537087,53.2726799,Galway,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Lahinch Art Gallery,http://www.lahinchartgallery.com,353657000000,-9.3457486,52.9317892,Clare,Lahinch,Ireland,"Craft,Shopping,Shopping Centres and Department Store,Art Gallery,Food Shops"
Adrigole Arts,http://www.hungryhillgallery.com,3532760234,-9.7104121,51.6844057,Cork,,Ireland,"Covid Safety Charter,Craft,Shopping,Art Gallery,Food Shops"
Beale Strand,,,-9.6312144,52.573972,Kerry,Ballybunion,Ireland,Discovery Point
Kells Beach ,https://www.blueflag.global/show-site?siteId=6654,353647000000,-10.1319167,52.0252772,Kerry,Kells,Ireland,"Fishing,Angling,Swimming,Swimming Pools and Water Park,Venue,Beach,Natural Landscape"
Kinnagoe Bay,,,-7.0128822,55.258608,Donegal,,Ireland,Discovery Point
Áras Inis Gluaire,http://arasinisgluaire.ie/main/,+353(0)9781079,-9.988932505,54.22246655,Mayo,Belmullet,Republic of Ireland,"Craft,Shopping,Learning,Movies,Cinema,Venue,Art Gallery,Music,Cafe,Food and Drink"
Rosserk Abbey,https://www.mayo-ireland.ie/en/towns-villages/killala/visitors-guide/rosserk-abbey.html,3539670848,-9.1431724,54.1716928,Mayo,Lecarrow,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Old Cork Waterworks Experience,http://www.lifetimelab.ie,353215000000,-8.5092931,51.895023,Cork,,Ireland,"Covid Safety Charter,Learning,Historic Houses and Castle,Museums and Attraction,Cafe,Food and Drink"
Nenagh Heritage Centre & North Tipp Genealogy Centre,https://www.facebook.com/Nenaghheritage/,3536733850,-8.2007414,52.8656669,Tipperary,Nenagh,Ireland,"Tracing Your Ancestors,Historic Houses and Castle,Museums and Attraction,Tour"
Dun na Rí Forest Park,http://www.coillte.ie/site/dun-a-ri-forest-park/,+353(0)494331942,-6.792601382,53.91922203,Cavan,Kingscourt,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park,Nature and Wildlife"
The Cathedral of Saint Patrick and Saint Felim,https://www.kilmorediocese.ie/cathedral-of-st-patrick-st-felim,353494000000,-7.3617541,53.9951218,Cavan,,Ireland,"Photography,Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
The South Leinster Way,http://www.irishtrails.ie/Trail/South-Leinster-Way/33/,,-6.928809904,52.60207927,Carlow,Borris,Republic of Ireland,"Walking,Natural Landscape"
Clough Oughter Castle,https://www.thisiscavan.ie/fun/article/visit-clough-oughter-castle,,-7.4548,54.018744,Cavan,,Ireland,"Castle,Historic Houses and Castle,Ruins"
Killinkere Visitor Farm,http://www.killinkerevisitorfarm.ie,353873000000,-7.062339,53.909817,Cavan,Virginia,Ireland,"Covid Safety Charter,Agriculture,Nature and Wildlife,Learning,Visitor Farm,Tour"
The Copper House Gallery,http://www.thecopperhousegallery.com,+353(0)15354332,-6.267770252,53.33473325,Dublin,,Ireland,"Craft,Shopping,Art Gallery,Food Shops"
RUA RED South Dublin Arts Centre,http://www.ruared.ie,+353(0)14515860,-6.2603097,53.3498053,Dublin,Tallaght,Ireland,"Craft,Shopping,Learning,Art Gallery,Cafe,Food and Drink"
Carran Medieval Church,,353657000000,-9.0760449,53.0376019,Clare,Carran,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ardmulchan Church,"http://www.megalithicireland.com/Ardmulchan%20Church,%20Meath.html",,-6.628602,53.6718102,Meath,Kells,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Arthur Wellesley Duke Of Wellington,http://www.visitdublin.com,+353(0)16057700,-6.303231,53.349086,Dublin,Phoenix Park,Republic of Ireland,Public Sculpture
Mizen Head Signature Point,,,-9.8109117,51.451562,Cork,,Ireland,"Walking,Discovery Point"
The Royal Canal Way,https://www.alltrails.com/trail/ireland/county-dublin/royal-canal-trail,,-6.490368384,53.36145068,Westmeath,Mullingar,Republic of Ireland,"Walking,Public Park,Nature and Wildlife,River,Discovery Point"
Bá na Scealg (Ballinskelligs Bay),,,-10.27351,51.820965,Kerry,Ballinskelligs,Ireland,Discovery Point
The Lartigue Monorailway,http://www.lartiguemonorail.com,3536824393,-9.490492,52.44965,Kerry,Listowel,Republic of Ireland,"Transport,Activity Operator,Museums and Attraction,Tour,Coach,Road"
National Archives of Ireland,http://www.nationalarchives.ie,35314072300,-6.268747,53.338802,Dublin,Dublin City,Republic of Ireland,"Learning,Tracing Your Ancestors,Museums and Attraction"
Killaloe Cathedral and Churches,http://www.discoverloughderg.ie/killaloe-cathedral-and-churches,35361374779,-8.439113,52.806371,Clare,Killaloe,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Cluain na dTor Seaside Gardens & Nursery,http://www.seasideplants.eu,353749000000,-8.1066942,55.13931,Donegal,Ballyconnell,Ireland,"Art Gallery,Gardens,Garden,Food Shops,Shopping"
Drumlane Abbey and Round Tower,https://www.thisiscavan.ie/fun/article/drumlane-abbey-round-tower,353494000000,-7.4790881,54.0583026,Cavan,,Ireland,"Photography,Learning,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Larchill Gardens,https://larchill.ie/,35316287354,-6.6588015,53.4411683,Meath,,Ireland,"Photography,Learning,Historic Houses and Castle,Gardens,Garden,Public Park,Nature and Wildlife,Tour"
Belturbet Railway Station,http://www.discoverbelturbet.ie/about-belturbet/belturbet-railway-station,353500000000,-7.4422836,54.0976819,Cavan,Belturbet,Ireland,"Museums and Attraction,Cafe,Food and Drink,Tour"
The Newport Shepherds,https://thenewportshepherds.ie/,353874000000,-9.5860875,53.903884,Mayo,,Ireland,Visitor Farm
Cleire Goats,http://www.oilean-chleire.ie,3532839126,-9.492451,51.4420574,Cork,,Ireland,"Agriculture,Nature and Wildlife,Learning,Visitor Farm,Activity Operator"
Shankill Castle Gardens,https://shankillcastle.com/,353600000000,-7.0217893,52.686437,Kilkenny,Shankill,Ireland,"Walking,Gardens,Garden,Cafe,Food and Drink"
Stronach Gallery,http://www.stronachgallery.com/,353877000000,-9.823556,54.024536,Mayo,Ballycroy,Ireland,"Craft,Shopping,Art Gallery"
Eighty Two Merrion Square,,+353(0)16761173,-6.251328,53.339313,Dublin,Dublin City Centre,Republic of Ireland,"Castle,Historic Houses and Castle"
Fancroft Mill and Gardens,http://www.fancroft.ie,35350531484,-7.8019673,52.98401,Offaly,,Ireland,"Gardening,Nature and Wildlife,Photography,Learning,Gardens,Garden,Tour"
Terra Nova Gardens,https://www.terranovagarden.com/cms/,3536390744,-8.6019878,52.4463014,Limerick,Kilmallock,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Lavit Gallery,http://www.lavitgallery.com,353214000000,-8.4793557,51.8963646,Cork,,Ireland,"Craft,Shopping,Art Gallery"
Woodville House and Walled Garden,http://www.woodvillewalledgarden.com,353879000000,-8.670777,53.18468,Galway,Kilchreest,Ireland,"Walking,Gardens,Garden,Museums and Attraction"
Glebe House and Gallery,http://www.heritageireland.ie/en/north-west/glebehouseandgallery/,353749000000,-7.9033341,55.0041408,Donegal,Churchill,Ireland,"Craft,Shopping,Art Gallery,Historic Houses and Castle,Cafe,Food and Drink"
Kells Bay House And Gardens,http://www.kellsbay.ie,353878000000,-10.099711,52.022807,Kerry,Kells,Ireland,"Restaurant,Gardening,Nature and Wildlife,Walking,Forest Park,Park and Forest Walk,Gardens,Garden,Natural Landscape,Cafe,Food and Drink"
Marl Bog,https://www.coillte.ie/site/marl-bog/,+353(0)61337322,-8.058619543,52.55037095,Tipperary,Dundrum,Republic of Ireland,"Bird Watching,Nature and Wildlife,Photography,Learning,Walking,Forest Park,Park and Forest Walk,Natural Landscape,Public Park"
Greta's Herbs,http://www.gretasherbs.com,353863000000,-10.0375747,52.1524334,Kerry,Annascaul,Ireland,"Gardening,Nature and Wildlife,Learning,Gardens,Garden,Food Shops,Shopping"
The Guinness Open Gate Brewery,https://www.guinnessopengate.com,35314712455,-6.2869935,53.3433454,Dublin,Dublin City,Republic of Ireland,"Food and Drink,Restaurant,Museums and Attraction,Pubs and Bar,Vegan,Vegetarian"
Doe Castle View,,,-7.8514212,55.128775,Donegal,,Ireland,Discovery Point
Nano Nagle Centre,http://www.nanonaglebirthplace.ie,3532226411,-8.52273,52.15127,Cork,,Ireland,"Learning,Museums and Attraction"
Inch Wildfowl Reserve,http://www.inchwildfowlreserve.ie,,-7.444063581,55.05160124,Donegal,Burt,Ireland,"Bird Watching,Nature and Wildlife,Walking,Natural Landscape"
National Gallery of Ireland,http://www.nationalgallery.ie,+353(0)16325133,-6.252491,53.340892,Dublin,,Republic of Ireland,"Covid Safety Charter,Craft,Shopping,Learning,Art Gallery,Museums and Attraction,Cafe,Food and Drink,Food Shops,Tour"
Ballybunion 'Walking the Beach' Looped Walk,http://www.irishtrails.ie/Trail/Ballybunion-Loops---Beach-Walk/607/,+353(0)667121288,-9.671727706,52.52350188,Kerry,Ballybunion,Republic of Ireland,"Walking,Beach,Natural Landscape"
Sphere With Sphere,,+353(0)16082320,-6.261219,53.344479,Dublin,Dublin City Centre,Republic of Ireland,Public Sculpture
Shelmalier Forth Mountain,,+353(0)539239400,-6.573049286,52.31663311,Wexford,Barntown,Republic of Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Parkavonear Castle,http://www.megalithicireland.com/Parkavonear%20Castle.html,353647000000,-9.5550062,52.0759354,Kerry,,Ireland,"Castle,Historic Houses and Castle"
Moone High Cross,http://www.kildare.ie/Heritage/History/religious/crosses/moone-high-cross.htm,,-6.8250371,52.979414,Kildare,,Ireland,"Photography,Learning,Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
The Irish Architectural Archive,http://www.facebook.com/irisharchitecturalarchive,+353(0)16633040,-6.246843,53.338673,Dublin,Dublin City Centre,Republic of Ireland,"Historic Houses and Castle,Museums and Attraction"
Eagles Flying - Irish Raptor Research Centre,http://www.eaglesflying.com,353719000000,-8.5683428,54.1033973,Sligo,,Ireland,"Bird Watching,Nature and Wildlife,Falconry,Activity Operator,Visitor Farm"
Altidore Castle,https://www.ihh.ie/index.cfm/houses/house/name/Altidore%20Castle,353878000000,-6.1381173,53.1106151,Wicklow,,Ireland,"Historic Houses and Castle,Castle,Museums and Attraction"
Ireland's Eye,,,-6.26098,53.343599,Dublin,Dublin City,Republic of Ireland,"Island,Offshore Island"
Fairbrook House Gardens,http://www.fairbrook-house.com,+35351 384657,-7.2640721,52.2397987,Waterford,,Ireland,"Gardens,Garden"
Herb Garden at Kilgraney House,http://www.kilgraneyhouse.com/index-herb.html,353600000000,-6.9582,52.6538339,Carlow,,Ireland,"Gardens,Garden,Food Shops,Shopping"
